2375099965,STahyoke,friends,27,2115,16,278,Thu Mar 06 09:26:16 +0000 2014,http://t.co/yIaCuDoDvh,,Singapore
14433397,CorrieTan,friends,65,2569,67,9295,Fri Apr 18 14:16:53 +0000 2008,,,
2393729106,STrebeccatan,friends,23,2286,66,1293,Mon Mar 17 04:10:12 +0000 2014,https://t.co/30BkF0UnlG,,Singapore
2393764729,STyipwaiyee,friends,17,1965,15,462,Mon Mar 17 04:31:53 +0000 2014,,,
1223715001,AMSA_News,friends,193,23567,386,772,Wed Feb 27 05:36:58 +0000 2013,http://t.co/rxc7TqYAuk,,Australia
2375042816,STasksandra,friends,14,515,9,10,Thu Mar 06 08:35:55 +0000 2014,http://t.co/LMX4KIaPVi,,Singapore
2426807064,STopinion,friends,345,3686,44,1703,Fri Apr 04 06:45:57 +0000 2014,http://t.co/R1tbnaWcef,,Singapore
253340062,SingaporeAir,friends,16,612187,2100,44614,Thu Feb 17 01:38:16 +0000 2011,http://t.co/GdUxJg2eVO,,
29183527,karmanomad,friends,4895,10734,562,27438,Mon Apr 06 11:34:49 +0000 2009,,,Washington  DC
2248195363,STSchools,friends,104,2030,11,1379,Mon Dec 16 04:49:24 +0000 2013,http://t.co/nsBWnoEsGH,,Singapore
3087502272,SBSTransit_Ltd,friends,9,24741,106,1019,Mon Mar 16 02:02:47 +0000 2015,http://t.co/ujWPj48v6m,,Singapore
1536791610,POTUS44,friends,79,15311086,25286,352,Fri Jun 21 16:02:21 +0000 2013,https://t.co/OTH6ss7aE4,,Washington  D.C.
822215679726100480,POTUS,friends,42,20662706,16118,1381,Thu Jan 19 22:54:28 +0000 2017,https://t.co/IxLjEB2zlE,,Washington  D.C.
2244983430,TwitterSG,friends,134,154196,196,1025,Sat Dec 14 04:31:10 +0000 2013,,,
69008563,F1,friends,58,3229390,19622,35999,Wed Aug 26 15:19:37 +0000 2009,http://t.co/7dAxQYnn2K,,Great Britain
555299478,JEyal_RUSI,friends,3217,6790,291,34161,Mon Apr 16 15:46:37 +0000 2012,http://t.co/4tXpIdhsH1,,
18921618,nationnews,friends,1053,495780,2399,105129,Tue Jan 13 00:19:06 +0000 2009,https://t.co/Zlr6hBmZ8v,,Bangkok  Thailand
4291685673,LTAtrafficnews,friends,32,19994,84,28786,Fri Nov 27 02:45:21 +0000 2015,https://t.co/sd35aBQRt7,,Singapore
1526228120,TwitterData,friends,11,754195,4274,1359,Mon Jun 17 23:57:45 +0000 2013,https://t.co/Ca4ib1oKLW,,San Francisco
4265253673,ocbcWealthPanel,friends,48,390,46,1759,Tue Nov 17 07:11:32 +0000 2015,https://t.co/J0KPVaQ7kl,,Singapore
3320831834,ElevenSportsSG,friends,790,2433,31,4805,Thu Aug 20 02:47:48 +0000 2015,https://t.co/dybBM45LEk,,Singapore
1339835893,HillaryClinton,friends,765,18950037,38799,9944,Tue Apr 09 18:04:35 +0000 2013,https://t.co/xhPHAcdCwE,,New York  NY
25073877,realDonaldTrump,friends,45,40523331,77608,36088,Wed Mar 18 13:46:38 +0000 2009,,,Washington  DC
66336739,bbcelection,friends,3,59661,963,2667,Mon Aug 17 11:52:22 +0000 2009,https://t.co/BakrEIyVm4,,BBC Election bunker
2362057826,SGX,friends,110,46604,171,2066,Wed Feb 26 03:33:01 +0000 2014,http://t.co/HmSgOmvCyB,,
2839430431,PokemonGoApp,friends,19,2548489,3440,340,Fri Oct 03 22:04:17 +0000 2014,https://t.co/WjeReR0qiP,,
59150445,HSAsg,friends,10,188,5,81,Wed Jul 22 15:12:14 +0000 2009,http://t.co/LwFSpFvkN6,,
31577674,YonhapNews,friends,1392,55787,2979,113969,Thu Apr 16 00:40:42 +0000 2009,http://t.co/1GEkwuAjKA,,Seoul  South Korea
87848783,HealthyTimes_SG,friends,4691,3944,44,838,Fri Nov 06 02:33:31 +0000 2009,http://t.co/gOYYIUXM7E,,Singapore
69393590,JoshVoorhees,friends,1707,10726,374,5730,Thu Aug 27 20:22:07 +0000 2009,https://t.co/F8STmctQOU,,Iowa City  IA
16017475,NateSilver538,friends,1029,2609004,28261,16991,Wed Aug 27 20:56:45 +0000 2008,http://t.co/wNpFg2xg4f,,New York
21313053,LarrySabato,friends,6094,118787,3638,21844,Thu Feb 19 16:27:33 +0000 2009,https://t.co/H0pNiSRpoK,,Charlottesville  VA
631594179,JohnJHudak,friends,2513,5956,218,11020,Mon Jul 09 23:43:58 +0000 2012,https://t.co/e6Fofu7YRr,,Arlington  VA
18791763,KarlRove,friends,141812,695279,13969,8782,Fri Jan 09 04:12:46 +0000 2009,http://t.co/3Cc2T9X2q0,,Washington  D.C.
1180379185,RealBenCarson,friends,36,2732408,7831,3242,Thu Feb 14 21:33:22 +0000 2013,https://t.co/Y9BYJvuSfb,,Baltimore  MD 
28785486,ABC,friends,738,12353657,50990,183799,Sat Apr 04 12:40:32 +0000 2009,https://t.co/v7GWW7ho1l,,New York City / Worldwide
1367531,FoxNews,friends,404,16153418,60578,335821,Sat Mar 17 19:01:26 +0000 2007,http://t.co/ZYG58XZtAC,,U.S.A.
14173315,NBCNews,friends,2977,5372333,36642,124438,Tue Mar 18 23:19:17 +0000 2008,http://t.co/UXSP362YuW,,New York  NY
23009949,thoughtworks,friends,8737,175171,3236,19628,Fri Mar 06 01:20:09 +0000 2009,http://t.co/MfDvjQZ9Ut,,
804883120193466368,TrumpInaugural,friends,36,129602,688,286,Sat Dec 03 03:01:04 +0000 2016,https://t.co/i3fliON7Or,,Washington  D.C.
17020962,jimmycarr,friends,318,6899702,14158,3468,Tue Oct 28 13:39:56 +0000 2008,http://t.co/G1eOUbcD4B,,
37874853,STcom,friends,126,952965,5645,273136,Tue May 05 06:48:23 +0000 2009,http://t.co/7447yWAzRb,,Singapore
